1.1903425524317863	W 1995 roku, w wieku 28 lat, przygotował serię fotografii na album CD dla grupy Please Don't Care.	V roku 1995, vo veku 28 rokov, nasnímal sériu fotografií na CD rockovej skupiny Please Don't Care.
1.1797907854274514	Zszokowany Jerry zostaje aresztowany.	Šokovaný Jerry je zatknutý.
1.1750154751998338	Szacuje się, że aktualnie trwa 51. dzień Brahmy.	Odhaduje sa, že teraz prebieha 51. rok Brahmu.
1.1683109860759338	O roli Europy w świecie”.	Úloha Európy vo svete“.
1.1681493171783297	(Tylko na licencji technicznej).	(Len v prípade technickej licencie).
1.1681390768565918	Od 1991 bonprix realizuje strategię ekspansji na inne kraje europejskie.	Od roku 1991 bonprix realizuje stratégiu expanzie do ďalších európskych krajín.
1.1665432521384733	Ten mechanizm został użyty w architekturze System/360.	Tento mechanizmus bol používaný v architektúre System/360.
1.1660768380493007	Przypuśćmy, że D chciałby coś zjeść.	Povedzme, že D chce jesť.
1.1640377620249098	Wszystko, co ma Ojciec, jest moje.	Všetko, čo má Otec, je moje.
1.1612279771544265	W 2030 przestaniemy się starzeć i każdy będzie miał wspaniałą szansę życia wiecznego.	V roku 2030 budeme nesmrteľní a každý bude mať vynikajúcu príležitosť žiť navždy.
1.1602075296374703	(Anthony Infante) pojawili się jako goście weselni.	(Anthony Infante) objavujú ako hostia na svadbe.
1.1601540779743653	Od 1938 ponownie używają jej polskie instytucje państwowe za granicą.	Od roku 1938 ju opäť používajú poľské úrady v zahraničí.
1.158082311090495	Unia Europejska i Kanada mają długą historię współpracy gospodarczej.	Kanada a Európska Únia majú dlhú históriu ekonomickej spolupráce.
1.158029993948177	Tak proste jak to tylko możliwe.	Tak jednoduché, ako je možné.
1.1577516571418198	Izrael ma trójpoziomowy system sądowniczy.	Izrael má trojstupňový súdny systém.
1.1571116395412777	Od tego czasu kilkakrotnie dokonywano korekt podziału administracyjnego (podział lub łączenie departamentów).	Odvtedy sa niekoľkokrát vykonali úpravy administratívneho rozdelenia (rozdelenie alebo spájanie departmentov).
1.156581031667124	Klingoński lud jest zjednoczony.	Klingónsky ľud je zjednotený.
1.1565005705043834	W ciągu jednego dnia wszystkie te cykle były identyczne i mogły się zmienić dopiero na drugi dzień.	V priebehu jedného dňa boli všetky cykly identické a mohli sa zmeniť až na druhý deň.
1.1564536205787028	Umie dawać dobre rady.	Vie poskytnúť dobré rady.
1.1555737192124096	Macedończycy walczą o swoje prawa!	Macedónci bojujú za svoje práva!
1.153233321670753	Przyczyną opuszczania miast może być też utrata znaczenia politycznego i kulturalnego.	Príčinou opúšťania miest môže byť aj strata politického a kultúrneho významu.
1.1528585039029904	Europejska Sieć Pamięć i Solidarność realizuje wyznaczone jej cele we współpracy z międzynarodowymi partnerami.	Európska Sieť Pamäť a Solidarita realizuje vyznačené ciele v spolupráci s medzinárodnými partnermi.
1.1524697646533641	Rok 1864 (upadek powstania styczniowego) uznaje się zazwyczaj za początek pozytywizmu w Polsce.	Rok 1864 (porážka Januárového povstania) sa zvyčajne pokladá za počiatok pozitivizmu v Poľsku.
1.1523620756812814	Pierwszy wśród równych.	Prvý medzi rovnými.
1.1517829527490206	Powiadam wam: Ten odszedł do domu usprawiedliwiony, nie tamten.	Hovorím vám: Tento odišiel do svojho domu ospravedlnený, a nie tamten.
1.1514982233386726	Jeśli chodzi o nazwę i organizatorów festiwalu, tutaj również nadeszły zmiany.	Pokiaľ ide o názov a organizátorov festivalu, tu tiež prišli zmeny.
1.151148341796337	W 902 roku Mojmirowi II udało się powstrzymać węgierski atak.	V roku 902 sa Mojmírovi II. podarilo zastaviť maďarský útok.
1.1499323115529512	Był to pierwszy na świecie mikroprocesor 8-bitowy.	Toto bol prvý 8-bitový mikroprocesor na svete.
1.1496938051554322	2001: Finland Post Corporation staje się spółką publiczną.	2001: Finland Post Corporation sa stáva verejnou spoločnosťou.
1.1492190372927915	O czym nie można mówić, o tym trzeba milczeć.	O čom nemôžeme hovoriť, o tom musíme mlčať.
1.1492000471098187	Na koniec Paul zmienia nazwę szkoły na Good Charlotte.	Potom Paul zmení názov školy na Good Charlotte.
1.1488582726108196	W wieku jednego i pół roku chłopiec zaczął mówić ludziom, iż jest Karmapą.	Keď mal chlapec jeden a pol roka začal ľuďom hovoriť, že je Karmapom.
1.1479891670997953	Jeszcze wcześniej próbował grać na tubie.	Ešte predtým sa pokúšal hrať na tube.
1.1479207107085407	Swoje obowiązki będę wypełniać w interesie jej obywateli.	Svoje povinnosti budem plniť v záujme jej občanov.
1.1477594021465343	Dokumentował upadek cesarstwa w Etiopii i Iranie.	Dokumentoval pád cisárstva v Etiópii a Iráne.
